"filename","font_name","details"
"Chaucer.otf","Chaucer","Copyright (c) 2021, Manos Pitsidianakis (<URL|email>),
with Reserved Font Name Chaucer.

This Font Software is licensed under the SIL Open Font License, Version 1.1.
This license is copied below, and is also available with a FAQ at:
http://scripts.sil.org/OFL


-----------------------------------------------------------
SIL OPEN FONT LICENSE Version 1.1 - 26 February 2007
-----------------------------------------------------------

PREAMBLE
The goals of the Open Font License (OFL) are to stimulate worldwide
development of collaborative font projects, to support the font creation
efforts of academic and linguistic communities, and to provide a free and
open framework in which fonts may be shared and improved in partnership
with others.

The OFL allows the licensed fonts to be used, studied, modified and
redistributed freely as long as they are not sold by themselves. The
fonts, including any derivative works, can be bundled, embedded, 
redistributed and/or sold with any software provided that any reserved
names are not used by derivative works. The fonts and derivatives,
however, cannot be released under any other type of license. The
requirement for fonts to remain under this license does not apply
to any document created using the fonts or their derivatives.

DEFINITIONS
""Font Software"" refers to the set of files released by the Copyright
Holder(s) under this license and clearly marked as such. This may
include source files, build scripts and documentation.

""Reserved Font Name"" refers to any names specified as such after the
copyright statement(s).

""Original Version"" refers to the collection of Font Software components as
distributed by the Copyright Holder(s).

""Modified Version"" refers to any derivative made by adding to, deleting,
or substituting -- in part or in whole -- any of the components of the
Original Version, by changing formats or by porting the Font Software to a
new environment.

""Author"" refers to any designer, engineer, programmer, technical
writer or other person who contributed to the Font Software.

PERMISSION & CONDITIONS
Permission is hereby granted, free of charge, to any person obtaining
a copy of the Font Software, to use, study, copy, merge, embed, modify,
redistribute, and sell modified and unmodified copies of the Font
Software, subject to the following conditions:

1) Neither the Font Software nor any of its individual components,
in Original or Modified Versions, may be sold by itself.

2) Original or Modified Versions of the Font Software may be bundled,
redistributed and/or sold with any software, provided that each copy
contains the above copyright notice and this license. These can be
included either as stand-alone text files, human-readable headers or
in the appropriate machine-readable metadata fields within text or
binary files as long as those fields can be easily viewed by the user.

3) No Modified Version of the Font Software may use the Reserved Font
Name(s) unless explicit written permission is granted by the corresponding
Copyright Holder. This restriction only applies to the primary font name as
presented to the users.

4) The name(s) of the Copyright Holder(s) or the Author(s) of the Font
Software shall not be used to promote, endorse or advertise any
Modified Version, except to acknowledge the contribution(s) of the
Copyright Holder(s) and the Author(s) or with their explicit written
permission.

5) The Font Software, modified or unmodified, in part or in whole,
must be distributed entirely under this license, and must not be
distributed under any other license. The requirement for fonts to
remain under this license does not apply to any document created
using the Font Software.

TERMINATION
This license becomes null and void if any of the above conditions are
not met.

DISCLAIMER
THE FONT SOFTWARE IS PROVIDED ""AS IS"", WITHOUT WARRANTY OF ANY KIND,
EXPRESS OR IMPLIED, INCLUDING BUT NOT LIMITED TO ANY WARRANTIES OF
MERCHANTABILITY, FITNESS FOR A PARTICULAR PURPOSE AND NONINFRINGEMENT
OF COPYRIGHT, PATENT, TRADEMARK, OR OTHER RIGHT. IN NO EVENT SHALL THE
COPYRIGHT HOLDER BE LIABLE FOR ANY CLAIM, DAMAGES OR OTHER LIABILITY,
INCLUDING ANY GENERAL, SPECIAL, INDIRECT, INCIDENTAL, OR CONSEQUENTIAL
DAMAGES, WHETHER IN AN ACTION OF CONTRACT, TORT OR OTHERWISE, ARISING
FROM, OUT OF THE USE OR INABILITY TO USE THE FONT SOFTWARE OR FROM
OTHER DEALINGS IN THE FONT SOFTWARE. | http://scripts.sil.org/OFL"
"Deathmatch.otf","Deathmatch","Copyright (c) 2020 by KongFont. | KongFont"
"DreadthornPersonalUse-5y5PV.ttf","Dreadthorn - Personal use","Contacting me for commercial use | Personal use only | letterara.com | Letterara"
"Embossed Germanica.ttf","EmbossedGermanica",""
"Enathica-Demo.ttf","Enathica Regular","Invinite typeface creative and detail-oriented font designer with a passion for crafting unique typefaces. Specializes in blending modern aesthetics with timeless elegance. Committed to enhancing visual communication through innovative typography. With years of experience. | This font is licensed for personal and commercial use by Inviline. Redistribution or modification is prohibited without permission. | https://inviline.co/license/ | Inviline"
"FDIAltmeisterB-Regular.otf","FDI Altmeister B Regular","Ralf Herrmann"
"FDIWiking-Regular.otf","FDI Wiking Regular","Heinz König, Ralf Herrmann"
"FetteClassicUNZFraktur.ttf","Fette classic UNZ Fraktur","Copyright (c) 2012 by  Catfomts.de. All rights reserved."
"FetteUNZFraktur.ttf","Fette UNZ Fraktur","Copyright (c) 2012 by  Catfomts.de. All rights reserved."
"Fust&Schoeffer-Durandus-Gotico-Antiqua118G.otf","Fust & Schoeffer Durandus Gotico-Antiqua 118G","Fust & Schöffer ‘Durandus’ 118G, Gotico-Antiqua first used in Mainz by Peter Schöffer & Johann Fust for Guillaume Durand’s Rationale Divinorum Officorum in 1459. The book displays two sizes, the smaller 92G for the main text and the bigger and more contrasted 118G used only for the colophon and later for the famous 48-line Bible in 1462. Used until the end of the century.

Type design workshop at Hochschule Mainz and Gutenberg-Bibliothek, Mainz, June 2016.

Sources: Latin Bible, 1462 & Epistolae,  Hieronymus, 1470 & De officiis, Cicero,1466.

Workshop participants: Frederik Fuchs, Katharina Blust, Roxane Lhéoté, André van Rueth, Lai Ping So, Marlene Arnold, Marilyn Baumann, Bettina Andresen, Sophie Golle, Yasemin Fakili.

Font designed and produced by Alexis Faudot and Rafael Ribas, directed by Jérôme Knebusch, Atelier National de Recherche Typographique (ANRT), Nancy.

Copyright (c) 2019 ANRT. All rights reserved. | SIL OPEN FONT LICENSE (OFL 1.1) | https://opensource.org/licenses/OFL-1.1 | Alexis Faudot, Rafael Ribas"
"Huntly.otf","Huntly","Copyright (c) 2020 by . All rights reserved."
"KATANA.otf","KATANA",""
"Kileydot-Demo-BF691ad3baf3794.otf","Kileydot","This font was created using FontCreator 13.0 from High-Logic.com | ©Denustudios 2022.  All Rights Reserved | https://denustudios.com/ | Dede Nugraha"
"Livingstone.otf","livingstone","Copyright (c) 2020 by Stringlabs. All rights reserved. | Stringlabs"
"MCF_bad_manners_ww.ttf","MCF bad manners wild west","Copyright (c) 2003 by Mister Chek (Andrey Chernevich). All rights reserved. | Andrey Chernevich"
"ManufacturingConsent-Regular.ttf","Manufacturing Consent Regular","This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: https://openfontlicense.org | https://openfontlicense.org"
"Mephistophjimenez-Regular.ttf","Mephistophjimenez Regular","Mikhail Vlasov"
"Mofkala.otf","Mofkala","http://www.rvandtype.com/license"
"Plain Germanica.ttf","PlainGermanica",""
"Poppl  Fraktur CAT.ttf","Poppl Fraktur CAT","Copyright (c) 2014 by Peter Wiegel.   Open Font under Terms of following Free Software Licenses:
GPL (General Public License) with font-exception and OFL (Open Font License | GPL- General Public License AND OFL-Open Font License | http://www.fsf.org/licenses/gpl.html AND http://scripts.sil.org/OFL | Peter Wiegel"
"QTFraktur.otf","QTFraktur",""
"RebellaRegular-ARXDg.ttf","Rebella Regular","Just for personal use | www.alitdesign.net/license | I Kadek Paniawan"
"RossFraktur-B-BF678399000aa78.ttf","RossFraktur-B","Deutsche Anzeigenschrift Schmal (1923) Rudolf Koch"
"Shadowed Germanica.ttf","ShadowedGermanica",""
"SyndicateShadow-Regular.ttf","Syndicate Shadow Regular","just for personal use | www.alitdesign.net/license | Ny Indrayana"
"VandalsBlackstarRegular-e98rO.ttf","Vandals Blackstar Regular","Just for personal use | www.alitdesign.net/license | Kana Widana"
"WickedKnight-Regular-BF676a2d9b6dba6.ttf","Wicked Knight","https://www.themewarrior.com/font-license/ | Andrayogi"
"Xirstark-Demo-BF6923dbdda21f0.otf","Xirstark","This font was created using FontCreator 13.0 from High-Logic.com | ©Denustudios 2022.  All Rights Reserved | https://denustudios.com/ | Dede Nugraha"
"Xylver-DEMO.otf","Xylver DEMO","Xylver DEMO is a  Collaboration Project of Inviline Studio and Hudaya Rochman AKA Adoey_GFX AKA HypnoTypes. | Inviline Studio. | Xylver DEMO is a  Collaboration Project of Inviline Studio and Hudaya Rochman AKA Adoey_GFX AKA HypnoTypes."
"Zussel-Demo-BF692164f6e1504.otf","Zussel","This font was created using FontCreator 13.0 from High-Logic.com | ©Denustudios 2022.  All Rights Reserved | https://denustudios.com/ | Dede Nugraha"
"_aeiou2U.ttf","_a e i o u","_a e i o u  was created with the Font Creator Program from High-Logic.com | If you want to use this font commercially, please visit http://www.pia-frauss.de/imp/cu.htm | http://www.pia-frauss.de/imp/cu.htm | Pia Frauss"
"blackfaceregular-yqa32.ttf","Black Face Regular","Just for personal use | www.alitdesign.net/license | I Kadek Paniawan"
"destroyers-font.ttf","Destroyers","Destroyers was created using FontCreator 13.0 from High-Logic.com | https://rochart-studio.com/license/"
"distropiax.otf","Distropiax","Dhabee Studio | Dhabee Studio"
"icelandwinterstorm-personal-use-only.otf","Iceland Winterstorm PERSONAL Regular","Please visit www.mansgreback.com to obtain a commercial license. | Please visit www.mansgreback.com to obtain a commercial license. | http://www.mansgreback.com | Mans Greback"
"proclamate embossed.ttf","Proclamate Embossed Heavy","Freeware! | PJL"
"proclamate heavy.ttf","Proclamate Heavy Heavy","Freeware! | PJL"
"proclamate light.ttf","Proclamate Light Light","Freeware! | PJL"
"regano.otf","Regano","http://www.rantaustudio.com | Yudi Pratama Chandra"
"soulsidebetrayed-3lazx.ttf","Soulside Betrayed","Situjuh Nazara"
"the-godfather-letter.otf","The Godfather Letter","The Godfather Letter Typeface By Vampstudio | Vampstudio | Irfan Syah"
"wildgothicregular-lvzgn.otf","Wild Gothic Regular","https://www.behance.net/holylinedesign | Bagus Beratha Wijaya"
